key,locales,en,fr
client-service::AWAITING_BANK_PAYMENT,,Awaiting bank payment.,En attente du paiement bancaire.
client-service::WE_NEED_SOME_INFORMATION_FROM_YOU,,We need some information from you to complete your request.,Nous avons besoin de quelques informations de part pour traiter votre demande.
client-service::YOUR_ATTENTION_IS_REQUIRED,,Your attention is required.,Votre attention est requise.
client-service::ABW,,Aruba,Aruba
client-service::AFG,,Afghanistan,Afghanistan
client-service::AGO,,Angola,Angola
client-service::AIA,,Anguilla,Anguilla
client-service::ALB,,Albania,Albanie
client-service::AND,,Andorra,Andorre
client-service::ANT,,Netherlands Antilles,Antilles néerlandaises
client-service::ARE,,United Arab Emirates,Émirats arabes unis
"client-service::ARG,caribou::ARG",,Argentina,Argentine
client-service::ARM,,Armenia,Arménie
client-service::ASM,,American Samoa,Samoa américaines
"client-service::ATA,caribou::ATA",,Antarctica,Antarctique
client-service::ATG,,Antigua and Barbuda,Antigua-et-Barbuda
"client-service::AUS,caribou::AUS",,Australia,Australie
"client-service::AT-AUT,caribou::AUT",,Austria,Autriche
client-service::AZE,,Azerbaijan,Azerbaïdjan
client-service::BDI,,Burundi,Burundi
"client-service::BEL,caribou::BEL",,Belgium,Belgique
client-service::BEN,,Benin,Bénin
client-service::BFA,,Burkina Faso,Burkina Faso
client-service::BGD,,Bangladesh,Bangladesh
client-service::BGR,,Bulgaria,Bulgarie
client-service::BHR,,Bahrain,Bahreïn
client-service::BHS,,Bahamas,Bahamas
client-service::BIH,,Bosnia and Herzegovina,Bosnie-Herzégovine
client-service::BLM,,Saint Barthelemy,Saint-Barthélémy
client-service::BLR,,Belarus,Biélorussie
client-service::BLZ,,Belize,District de Belize
client-service::BMU,,Bermuda,Bermudes
"client-service::BOL,caribou::BOL",,Bolivia,Bolivie
client-service::BRA,,Brazil,Brésil
client-service::BRB,,Barbados,Barbade
client-service::BRN,,Brunei Darussalam,Brunei Darussalam
client-service::BTN,,Bhutan,Bhoutan
client-service::BWA,,Botswana,Botswana
client-service::CAF,,Central African Republic,République centrafricaine
"client-service::CAN,caribou::CAN",,Canada,Canada
client-service::CHE,,Switzerland,Suisse
"client-service::CHL,caribou::CHL",,Chile,Chili
"client-service::CHN,caribou::CHN",,China,Chine
client-service::CIV,,Côte d'voire,Côte d'voire
client-service::CMR,,Cameroon,Cameroun
client-service::COD,,Democratic Republic of the Congo,République démocratique du Congo
client-service::COG,,Republic of the Congo,République du Congo
client-service::COK,,Cook Islands,Îles Cook
"client-service::COL,caribou::COL",,Colombia,Colombie
client-service::COM,,Comoros,Comores
client-service::CPV,,Cape Verde,Cap-Vert
"client-service::CRI,caribou::CRI",,Costa Rica,Costa Rica
client-service::CUB,,Cuba,Cuba
client-service::CXR,,Christmas Island,Île Christmas
client-service::CYM,,Cayman Islands,Îles Caïmans
client-service::CYP,,Cyprus,Chypre
client-service::CZE,,Czech Republic,République tchèque
